Alexander Volkanovski	Max Holloway	373680	Alexander Volkanovski vs Max Holloway UFC 276
Petr Yan	Merab Dvalishvili	893965	Merab Dvalishvili vs Petr Yan UFC 323
Petr Yan	Merab Dvalishvili	453427	Petr Yan vs Merab Dvalishvili UFC Las Vegas
Aljamain Sterling	Petr Yan	346308	Aljamain Sterling vs Petr Yan UFC 273
Aljamain Sterling	Petr Yan	208792	Petr Yan vs Aljamain Sterling UFC 259
Justin Gaethje	Dustin Poirier	503923	Justin Gaethje vs Dustin Poirier UFC 291
Justin Gaethje	Dustin Poirier	64369	Dustin Poirier vs Justin Gaethje UFC Fight Night
Justin Gaethje	Khabib Nurmagomedov	173502	Khabib Nurmagomedov vs Justin Gaethje UFC 254
Sean Strickland	Krzysztof Jotko	220423	Sean Strickland vs Krzysztof Jotko UFC Fight Night
Alexandre Pantoja	Brandon Royval	562897	Alexandre Pantoja vs Brandon Royval UFC 296
Alexandre Pantoja	Brandon Royval	244784	Alexandre Pantoja vs Brandon Royval UFC Vegas 34
Alexandre Pantoja	Brandon Moreno	498042	Alexandre Pantoja vs Brandon Moreno UFC 290
Alexandre Pantoja	Brandon Moreno	65048	Alexandre Pantoja vs Brandon Moreno UFC Fight Night
Alexandre Pantoja	Manel Kape	200317	Alexandre Pantoja vs Manel Kape UFC Vegas 18
Charles Oliveira	Michael Chandler	721876	Charles Oliveira vs Michael Chandler UFC 309
Charles Oliveira	Jim Miller	65076	Charles Oliveira vs Jim Miller UFC Fight Night
Sean O'Malley	Marlon Vera	595123	Sean O'Malley vs Marlon Vera UFC 299
Marlon Vera	Davey Grant	39456	Davey Grant vs Marlon Vera UFC Fight Night
Belal Muhammad	Leon Edwards	671794	Leon Edwards vs Belal Muhammad UFC 304
Belal Muhammad	Vicente Luque	348213	Vicente Luque vs Belal Muhammad UFC Vegas 51
Belal Muhammad	Vicente Luque	47096	Vicente Luque vs Belal Muhammad UFC 205
Leon Edwards	Kamaru Usman	456036	Leon Edwards vs Kamaru Usman UFC 286
Leon Edwards	Kamaru Usman	386297	Kamaru Usman vs Leon Edwards UFC 278
Leon Edwards	Kamaru Usman	41507	Kamaru Usman vs Leon Edwards UFC Fight Night
Valentina Shevchenko	Alexa Grasso	687550	Alexa Grasso vs Valentina Shevchenko UFC 306
Valentina Shevchenko	Alexa Grasso	521194	Alexa Grasso vs Valentina Shevchenko Noche UFC
Valentina Shevchenko	Alexa Grasso	450813	Valentina Shevchenko vs Alexa Grasso UFC 285
Rose Namajunas	Jessica Andrade	96993	Jessica Andrade vs Rose Namajunas UFC 237
Zhang Weili	Rose Namajunas	265895	Rose Namajunas vs Zhang Weili UFC 268
Rose Namajunas	Carla Esparza	354779	Rose Namajunas vs Carla Esparza UFC 274
Rose Namajunas	Carla Esparza	35433	Carla Esparza vs. Rose Namajunas TUF 20 Finale
Julianna Pena	Kayla Harrison	810643	Kayla Harrison vs Julianna Peña UFC 316
Raquel Pennington	Irene Aldana	97005	Raquel Pennington vs Irene Aldana UFC Fight Night
Amanda Ribas	Mackenzie Dern	740414	Mackenzie Dern vs Amanda Ribas UFC Vegas 101
Amanda Ribas	Mackenzie Dern	102947	Amanda Ribas vs Mackenzie Dern UFC Fight Night
