ALVE01KWVRP9ZGEZY8GYWP8TJ82JQJ	Dricus Du Plessis vs. Kamaru Usman (UFC Fight Night: Du Plessis vs. Usman - Main)	UFC Fight Night	2026-07-18
ALVE01KWVRPAM3EEZ9BZ29PWSSNH63	Jared Cannonier vs. Christian Leroy Duncan (UFC Fight Night: Du Plessis vs. Usman - Main)	UFC Fight Night	2026-07-18
ALVE01KWVRPBKGEPZRRTT768D6EQGP	Chase Hooper vs. Mitch Ramirez (UFC Fight Night: Du Plessis vs. Usman - Main)	UFC Fight Night	2026-07-18
ALVE01KWVRPC25ENA9DZBWV8N90TTY	Tabatha Ricci vs. Fatima Kline (UFC Fight Night: Du Plessis vs. Usman - Main)	UFC Fight Night	2026-07-18
ALVE01KWVRPCN6EDXBWJXX4866GMW9	Tommy McMillen vs. Alberto Montes (UFC Fight Night: Du Plessis vs. Usman - Main)	UFC Fight Night	2026-07-18
ALVE01KWVRPE42EY0B4XKSE76Y7MST	Austin Bashi vs. Jose Delgado (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KWVRPGR2EJMVD4Q68QVRF8KQ	Jean-Paul Lebosnoyani vs. Seokhyeon Ko (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KWVRPFF1E8EVV904EH3AA9G5	Levi Rodrigues Jr. vs. Felipe Franco (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KXKF0K0CES8TP8V9NS6FFX4Y	Ezra Elliott vs. Damien Anderson (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KWVRPG6CEST9ZVPHV82G810X	Alden Coria vs. Stewart Nicoll (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KX74NH55E5V8SD0ZDPYT9VD5	RJ Harris vs. Alvin Hines (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KX74NEZ5E4KSWDNA1Y2XFXA6	Anna Melisano vs. Dione Barbosa (UFC Fight Night: Du Plessis vs. Usman - Prelims)	UFC Fight Night	2026-07-18
ALVE01KV5NHZ8YEXHA502EBMXCN2MA	Rafael Fiziev vs. Manuel Torres (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ0AFEBVTYPTGBF0585A7	Shara Magomedov vs. Michel Pereira (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ0ADE1HB2WJ1K8A16YVQ	Nazim Sadykhov vs. Matheus Camilo (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ043EDXS6H2RW7JZEE0M	Asu Almabayev vs. Charles Johnson (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ08JESYS782TS5492ZP0	Ikram Aliskerov vs. Brunno Ferreira (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ17REDKAE9EX5VEBTRZE	Abus Magomedov vs. Michal Oleksiejczuk (UFC Fight Night: Fiziev vs. Torres - Main)	UFC Fight Night	2026-06-27
ALVE01KV5NJ138E3TAXYT26S9HGENH	Farman Hasanov vs. Eric Nolan (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KV5NJ0WMEFVBKSWEJG81CHND	Abdul Rakhman Yakhyaev vs. Julius Walker (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KV5NHZB3EQQ8XMQQZ36PEP7Y	Nursulton Ruziboev vs. Andrey Pulyaev (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KV5NHZ5RE2894REY2MPRQ4AQ	Kaan Ofli vs. Javier Reyes (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KVKBQHJ6EH2BVTT0ZEMGXASK	Daniil Donchenko vs. Theodor Berggren (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KV5NJ01CE7BT1FQ3F80TCNRQ	Bekzat Almakhan vs. Jean Matsumoto (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KVKBQHGKEMH84DNS437R4DHQ	Tahir Abdullayev vs. Jefferson Nascimento (UFC Fight Night: Fiziev vs. Torres - Prelims)	UFC Fight Night	2026-06-27
ALVE01KTKN8F09ER0A2J4VQP8Y696V	Manel Kape vs. Kyoji Horiguchi (UFC Fight Night: Kape vs. Horiguchi - Main)	UFC Fight Night	2026-06-20
ALVE01KTKN8DRAE3VTPG54D6QSVPCP	Ion Cutelaba vs. Navajo Stirling (UFC Fight Night: Kape vs. Horiguchi - Main)	UFC Fight Night	2026-06-20
ALVE01KTKN8EZ0EVC8ZJVMZZJG3QFB	Hyder Amil vs. Christian Rodriguez (UFC Fight Night: Kape vs. Horiguchi - Main)	UFC Fight Night	2026-06-20
ALVE01KTKN8F5PESCBVMNWQ7SXJ0SM	Melsik Baghdasaryan vs. Murtazali Magomedov (UFC Fight Night: Kape vs. Horiguchi - Main)	UFC Fight Night	2026-06-20
ALVE01KV1P5SZ2EXZT41AQFZ4G1PR2	Vinicius Oliveira vs. Andre Fili (UFC Fight Night: Kape vs. Horiguchi - Main)	UFC Fight Night	2026-06-20
