Merab Dvalishvili	Petr Yan	893965	Merab Dvalishvili vs Petr Yan UFC 323
Merab Dvalishvili	Petr Yan	453427	Petr Yan vs Merab Dvalishvili UFC Las Vegas
Charles Oliveira	Michael Chandler	721876	Charles Oliveira vs Michael Chandler UFC 309
Charles Oliveira	Jim Miller	65076	Charles Oliveira vs Jim Miller UFC Fight Night
Brandon Royval	Alexandre Pantoja	562897	Alexandre Pantoja vs Brandon Royval UFC 296
Brandon Royval	Alexandre Pantoja	244784	Alexandre Pantoja vs Brandon Royval UFC Vegas 34
Sean O'Malley	Merab Dvalishvili	810687	Merab Dvalishvili vs Sean OMalley UFC 316
Sean O'Malley	Merab Dvalishvili	687574	Sean O'Malley vs Merab Dvalishvili UFC 306
Sean O'Malley	Marlon Vera	595123	Sean O'Malley vs Marlon Vera UFC 299
Deiveson Figueiredo	Brandon Moreno	437070	Brandon Moreno vs Deiveson Figueiredo UFC 283
Deiveson Figueiredo	Brandon Moreno	286805	Brandon Moreno vs Deiveson Figueiredo UFC 270
Deiveson Figueiredo	Brandon Moreno	230593	Brandon Moreno vs Deiveson Figueiredo UFC 263
Marlon Vera	Davey Grant	39456	Davey Grant vs Marlon Vera UFC Fight Night
Marlon Vera	Sean O'Malley	595123	Sean O'Malley vs Marlon Vera UFC 299
Max Holloway	Dustin Poirier	833058	Max Holloway vs Dustin Poirier UFC 318
Max Holloway	Dustin Poirier	29074	Dustin Poirier vs. Max Holloway UFC 143
Max Holloway	Dustin Poirier	96852	Dustin Poirier vs Max Holloway UFC 236
Sean Brady	Michael Morales	884688	Sean Brady vs Michael Morales VeChain UFC 322
Belal Muhammad	Leon Edwards	671794	Leon Edwards vs Belal Muhammad UFC 304
Leon Edwards	Belal Muhammad	671794	Leon Edwards vs Belal Muhammad UFC 304
Dominick Reyes	Dustin Jacoby	647907	Dominick Reyes vs Dustin Jacoby UFC Louisville
Dominick Reyes	Jan Błachowicz	167859	Dominick Reyes vs Jan Błachowicz UFC 253
Johnny Walker	Volkan Oezdemir	652416	Volkan Oezdemir vs Johnny Walker UFC Saudi Arabia
Zhang Weili	Rose Namajunas	265895	Rose Namajunas vs Zhang Weili UFC 268
Raquel Pennington	Jéssica Andrade	37605	Raquel Pennington vs Jessica Andrade UFC 191
Raquel Pennington	Jéssica Andrade	34724	Jessica Andrade vs. Raquel Pennington UFC 171
Rose Namajunas	Zhang Weili	265895	Rose Namajunas vs Zhang Weili UFC 268
Rose Namajunas	Jéssica Andrade	96993	Jessica Andrade vs Rose Namajunas UFC 237
Jéssica Andrade	Rose Namajunas	96993	Jessica Andrade vs Rose Namajunas UFC 237
Jéssica Andrade	Raquel Pennington	37605	Raquel Pennington vs Jessica Andrade UFC 191
Jéssica Andrade	Raquel Pennington	34724	Jessica Andrade vs. Raquel Pennington UFC 171
Angela Hill	Tecia Torres	37015	Tecia Torres vs Angela Hill UFC 188
Miranda Maverick	Maycee Barber	238722	Maycee Barber vs Miranada Maverick UFC Vegas 32
Joselyne Edwards	Nora Cornolle	924139	Nora Cornolle vs Joselyne Edwards UFC Houston
Nora Cornolle	Joselyne Edwards	924139	Nora Cornolle vs Joselyne Edwards UFC Houston
