Leon Edwards                        wiki: Leon Edwards | fights: 29
Joaquin Buckley                     wiki: Joaquin Buckley | fights: 28
Gabriel Bonfim                      wiki: Gabriel Bonfim | fights: 20
Gilbert Burns                       wiki: Gilbert Burns | fights: 32
Uroš Medić                          wiki: Uroš Medić | fights: 15
Michael Page                        wiki: Michael Page | fights: 27
Daniel Rodriguez                    wiki: Daniel Rodriguez (fighter) | fights: 24
Jorge Masvidal                      wiki: Jorge Masvidal | fights: 51
Geoff Neal                          wiki: Geoff Neal | fights: 24
Neil Magny                          wiki: Neil Magny | fights: 49
Kevin Holland                       wiki: Kevin Holland | fights: 45
Joel Alvarez                        wiki: Joel Álvarez | fights: 27
Yaroslav Amosov                     wiki: Yaroslav Amosov | fights: 30
Jeremiah Wells                      wiki: Jeremiah Wells | fights: 18
Khamzat Chimaev                     wiki: Khamzat Chimaev | fights: 15
Dricus du Plessis                   wiki: Dricus du Plessis | fights: 26
Sean Strickland                     wiki: Sean Strickland | fights: 38
Israel Adesanya                     wiki: Israel Adesanya | fights: 30
Anthony Hernandez                   wiki: Anthony Hernandez | fights: 19
Caio Borralho                       wiki: Caio Borralho | fights: 20
Reinier de Ridder                   wiki: Reinier de Ridder | fights: 25
Robert Whittaker                    wiki: Robert Whittaker (fighter) | fights: 34
Jared Cannonier                     wiki: Jared Cannonier | fights: 26
Roman Dolidze                       wiki: Roman Dolidze | fights: 19
Paulo Costa                         wiki: Paulo Costa | fights: 20
Gregory Rodrigues                   wiki: Gregory Rodrigues | fights: 24
Brunno Ferreira                     wiki: NOT FOUND | fights: 0
Ateba Gautier                       wiki: Ateba Gautier | fights: 11
Roman Kopylov                       wiki: Roman Kopylov | fights: 19
Baisangur Susurkaev                 wiki: NOT FOUND | fights: 0
Djorden Santos                      wiki: NOT FOUND | fights: 0
Marco Tulio                         wiki: NOT FOUND | fights: 0
Brad Tavares                        wiki: Brad Tavares | fights: 32
Edmen Shahbazyan                    wiki: Edmen Shahbazyan | fights: 21
Gerald Meerschaert                  wiki: Gerald Meerschaert | fights: 59
Jun Yong Park                       wiki: Jun Yong Park | fights: 25
Eryk Anders                         wiki: Eryk Anders | fights: 28
Michal Oleksiejczuk                 wiki: Michał Oleksiejczuk | fights: 32
Alex Pereira                        wiki: Alex Pereira | fights: 15
Magomed Ankalaev                    wiki: Magomed Ankalaev | fights: 24
Jiří Procházka                      wiki: Jiří Procházka | fights: 39
Carlos Ulberg                       wiki: Carlos Ulberg | fights: 14
Khalil Rountree Jr.                 wiki: Khalil Rountree Jr. | fights: 22
Jan Błachowicz                      wiki: Jan Błachowicz | fights: 41
Jamahal Hill                        wiki: Jamahal Hill | fights: 16
Volkan Oezdemir                     wiki: Volkan Oezdemir | fights: 29
Bogdan Guskov                       wiki: Bogdan Guskov | fights: 22
Dominick Reyes                      wiki: Dominick Reyes | fights: 21
Aleksandar Rakić                    wiki: Aleksandar Rakić | fights: 20
Nikita Krylov                       wiki: Nikita Krylov | fights: 42
Johnny Walker                       wiki: Johnny Walker (fighter) | fights: 33
Dustin Jacoby                       wiki: Dustin Jacoby | fights: 31
Zhang Mingyang                      wiki: Zhang Mingyang | fights: 26
